13,50,70,75,31,81,-56,11,40,77,12,10,50,67,-64,24,73,37,-69,59,89,7,-21,8;28,12,10,47,67,7,-4,16,82,8,13,9,90,8,-19,6

18,44,66,91,49,83,-13,21,70,69,-74,24,77,64,59,14,91,40,-74,63,102,8,27,5;16,13,-23,24,35,20,56,29,47,29,-38,9,56,32,57,13,69,22,-62,34,91,7,3,27

9,52,67,49,28,79,27,17,44,67,-66,34,60,41,-48,28;19,17,28,36,45,17,-51,22,61,7,-4,17

11,59,69,60,38,71,-56,40,54,61,59,15;3,20,-73,25,14,24,70,33,29,39,24,8,38,34,-61,15,51,16,-68,18,58,8,1,6

15,56,65,72,41,71,-64,39,58,60,44,20,72,40,-76,56;12,10,5,24,31,10,-5,14,40,15,66,11,46,14,-59,14,65,7,-3,28

22,44,61,92,58,70,-51,38,78,60,49,13,87,43,-77,46;5,12,29,11,20,12,-16,21,35,16,55,16,67,15,-18,54

4,20,64,21,21,21,-39,27,44,50,75,78,57,82,-68,13,64,84,60,17,86,50,-66,90;3,17,65,16,22,17,-65,25,38,24,60,41,58,33,-39,25,73,29,32,13,87,21,-54,28

2,8,-27,13,9,26,70,25,23,27,-47,28,39,47,79,61,68,50,-64,73,90,17,6,10,104,10,-44,21;7,17,59,14,17,15,-55,20,38,27,55,49,58,27,-75,41,88,6,-2,48

6,14,63,27,24,19,-34,27,42,40,78,58,56,79,66,14,75,53,-63,72,103,14,-32,24;6,15,53,21,16,15,-60,19,35,22,48,40,55,42,37,13,65,31,-73,30,97,6,-2,33

6,25,65,31,26,27,-49,33,42,55,82,80,51,85,-68,19,65,64,-68,31,84,41,-28,30,110,22,-66,30;5,17,54,19,17,18,-55,16,29,8,-20,13,41,22,67,34,65,26,-70,37,75,11,24,10,98,10,-12,38

9,31,63,41,27,30,-65,42,45,51,78,81,60,65,-76,52,92,27,-39,53;23,21,-31,31,45,28,65,32,62,35,-35,24,76,34,51,15,86,37,-29,10,105,26,-50,24

7,18,56,26,18,30,13,7,29,21,-56,26,43,51,81,83,55,73,-78,37,71,42,-54,26,92,21,-39,30;7,17,55,25,26,17,-43,31,43,24,71,37,59,33,-37,25,91,19,-41,32

3,29,62,14,17,49,53,32,40,73,40,33,59,78,-36,17,75,59,-71,35,88,44,16,12,101,31,-64,33;1,14,-80,11,8,8,-5,11,21,23,69,31,37,32,-31,21,60,32,57,17,70,33,-55,16,92,17,-29,37

15,36,62,65,36,63,-16,11,52,71,40,26,77,56,-60,55,97,24,-54,18;12,9,-11,14,24,22,67,30,38,31,-33,18,50,29,37,9,79,20,-26,53

3,38,72,21,19,65,55,38,36,72,-59,20,55,50,-42,36,72,33,-49,13;14,18,40,35,36,27,-15,14,46,29,46,10,54,21,-71,24,74,7,-10,6
