0,13,12,79,79,15,80,19,70,-68,20,72,29,93,66,31,93,38,76,-67,39,77,42,82,59,43,81,46,78,-45,48,79,51,83,53,52,83,59,84,8,60,83,79,16,-74,80,16,86,8,-53;0,10,4,38,81,6,38,10,36,-26,11,37,17,56,72,18,57,29,38,-59,37,38,44,64,74,45,65,61,60,-17,62,58,73,38,-61,74,37,79,3,-81

0,9,10,48,75,11,49,18,35,-63,19,35,28,92,81,29,92,34,62,-80,35,62,38,56,-63,39,56,45,43,-65,48,43,54,29,-66,56,30,61,29,-11,62,27,67,8,-75;0,3,6,57,83,7,59,10,62,45,12,62,20,54,-45,22,54,26,58,45,31,58,37,46,-63,41,46,46,54,57,50,54,54,56,26,55,54,67,3,-76

0,32,9,61,72,10,62,21,58,-19,22,59,26,67,63,27,67,33,59,-53,34,59,41,94,78,43,94,61,60,-62,63,60,69,56,-33,70,52,76,11,-81,78,10,84,7,-26;0,49,3,53,53,4,53,10,46,-49,16,46,20,42,-45,21,43,24,46,45,36,46,41,39,-54,42,39,45,42,45,64,42,70,32,-59,72,32,77,3,-80

0,30,3,40,73,4,40,15,94,78,16,94,27,91,-15,28,88,34,57,-79,35,58,39,79,79,41,80,47,66,-66,48,66,54,59,-49,56,59,61,57,-21,62,53,67,20,-81,69,20,72,14,-63;0,37,3,34,-45,4,34,10,48,66,11,48,24,34,-47,26,34,30,38,45,32,38,37,50,67,38,49,41,46,-45,48,46,52,50,45,53,50,58,42,-57,64,42,69,3,-82

0,48,11,91,75,12,88,16,75,-72,17,75,23,83,53,24,82,48,41,-59,49,40,52,38,-33;0,59,3,62,45,6,62,11,51,-65,14,50,22,42,-45,27,42,31,38,-45,32,38,35,41,45,36,41,41,42,11,42,41,45,38,-45,51,38,52,37,-45

0,24,9,63,77,11,64,24,91,64,27,92,35,64,-74,36,67,40,86,78,41,86,50,48,-76,51,47,56,46,-11,58,47,63,43,-38,64,37,68,18,-78,69,17,72,13,-53;0,26,2,34,75,3,35,9,53,71,11,54,26,34,-53,30,34,37,49,64,38,49,44,42,-49,45,42,48,45,45,49,45,55,38,-49,56,38,60,40,26,61,38,69,3,-77

0,10,8,70,82,9,71,16,89,68,17,86,27,54,-72,28,53,33,42,-65,38,42,41,45,45,43,45,47,43,-26,52,43,56,41,-26,57,39,62,28,-65,63,28,70,9,-69;0,3,5,38,81,10,38,14,45,60,15,44,19,40,-45,21,40,25,42,26,32,42,36,40,-26,38,41,41,38,-45,52,38,56,42,45,57,42,64,34,-48,65,25,69,3,-79

-1,9,13,65,75,15,66,25,91,68,26,92,29,95,45,30,94,40,55,-75,41,59,45,80,79,46,81,56,67,-54,57,67,61,63,-45,63,63,66,66,45,67,66,74,23,-80,75,22,80,10,-67,81,9,85,7,-26;0,3,6,51,82,7,53,13,54,9,14,53,24,38,-56,26,38,30,34,-45,36,34,42,48,66,43,48,49,42,-45,62,42,68,36,-45,70,36,75,3,-81

0,22,10,78,79,11,80,14,75,-59,15,76,19,88,71,20,87,24,80,-60,26,79,32,72,-49,37,72,42,63,-60,43,63,46,67,53,47,67,57,52,-56,58,52,61,55,45,62,55,67,58,30,68,57,81,10,-74,84,9,89,8,-11;0,26,3,54,83,4,53,10,38,-68,12,38,16,42,45,52,42,56,38,-45,64,38,67,41,45,68,41,71,38,-45,74,38,81,3,-78

-3,11,10,66,76,11,67,16,83,72,17,84,23,92,53,24,91,37,63,-65,38,64,41,70,63,43,70,50,66,-29,53,66,74,10,-69;-1,3,8,49,78,10,50,17,42,-48,18,42,25,34,-48,34,34,39,46,67,41,46,44,43,-45,45,43,65,38,-14,66,29,70,3,-81

0,47,2,54,74,3,55,11,91,77,12,87,15,81,-63,16,80,30,49,-65,31,48,35,46,-26,36,46,42,38,-53,43,38,49,35,-26,50,36,52,32,-63;0,60,9,46,-57,10,46,14,42,-45,16,42,20,40,-26,21,41,27,42,9,28,41,31,38,-45,32,39,35,42,45,47,42,52,25,-73

0,23,5,40,73,6,40,13,57,67,15,57,23,75,66,24,76,30,89,65,31,89,40,39,-79,41,40,46,68,79,47,69,57,50,-62,58,50,64,46,-33,65,46,77,8,-72;0,31,2,40,77,3,39,7,34,-51,8,35,14,50,68,16,50,20,46,-45,21,46,27,36,-59,28,35,38,34,-5,39,38,42,52,77,43,51,47,44,-60,48,43,55,42,-8,56,43,59,46,45,62,46,74,3,-74

0,14,10,60,77,12,61,20,93,75,21,94,36,71,-56,37,71,50,39,-67,52,39,55,44,59,56,44,77,7,-60,79,7,92,6,-4;0,12,4,48,83,5,47,8,42,-59,9,41,12,38,-45,13,39,16,42,45,49,42,53,38,-45,61,38,65,42,45,66,41,70,34,-60,71,34,76,3,-80
