5,38,11,36,20,58,30,38,38,38,47,66,52,62,60,62,79,3;5,40,11,74,20,70,30,93,38,77,47,78,52,83,60,84,79,17

12,62,22,54,27,58,32,58,38,46,47,54,54,56,67,3;12,49,22,42,27,84,32,79,38,57,47,43,54,30,67,9

4,53,11,46,16,46,21,42,26,46,37,46,42,39,47,42,65,42,71,32,77,3;4,41,11,62,16,62,21,58,26,66,37,68,42,94,47,90,65,61,71,52,77,11

2,36,11,48,16,46,26,34,33,38,38,50,43,46,49,46,54,50,59,42,65,42,70,3;2,35,11,70,16,94,26,93,33,66,38,70,43,79,49,66,54,60,59,60,65,38,70,20

2,61,7,62,13,50,23,42,32,38,37,41,42,42,47,38;2,52,7,70,13,88,23,83,32,74,37,63,42,54,47,44

2,34,11,54,27,34,32,35,38,49,45,42,50,45,56,38,61,40,69,3;2,27,11,64,27,92,32,82,38,72,45,76,50,50,56,46,61,49,69,18

5,38,10,38,15,45,21,40,33,42,39,41,52,38,57,42,64,36,69,3;5,44,10,71,15,84,21,76,33,44,39,42,52,43,57,41,64,28,69,13

1,3,9,54,14,54,25,38,31,34,37,34,43,48,50,42,63,42,70,36,75,3;1,10,9,46,14,65,25,90,31,94,37,79,43,66,50,81,63,63,70,57,75,23

4,54,12,38,17,42,53,42,58,38,68,41,76,37,81,3;4,52,12,80,17,79,53,59,58,52,68,58,76,40,81,12

0,3,10,50,18,42,26,34,35,34,40,46,45,43,51,42,56,42,61,38,66,38,71,3;0,16,10,65,18,84,26,90,35,74,40,66,45,69,51,66,56,64,61,55,66,45,71,20

2,62,9,47,15,42,20,40,27,42,32,38,37,42,48,42;2,52,9,78,15,82,20,77,27,57,32,48,37,46,48,36

3,40,8,34,15,50,23,45,30,34,38,34,43,52,50,42,56,42,63,46,74,3;3,32,8,41,15,57,23,74,30,88,38,67,43,48,50,69,56,54,63,47,74,16

5,48,13,38,18,42,50,42,55,38,61,38,66,42,71,34,76,3;5,31,13,61,18,83,50,41,55,42,61,44,66,40,71,31,76,10
